Date,AAPL,MSFT,TSLA,AMZN,GOOGL
2020-01-02,72.62084197998047,153.0423126220703,28.68400001525879,94.90049743652344,68.02601623535156
2020-01-03,71.9148178100586,151.13665771484375,29.534000396728516,93.74849700927734,67.67015075683594
2020-01-06,72.48784637451172,151.52732849121094,30.1026668548584,95.14399719238281,69.47383880615234
2020-01-07,72.1469497680664,150.14572143554688,31.270666122436523,95.34300231933594,69.33964538574219
2020-01-08,73.30750274658203,152.5373077392578,32.80933380126953,94.59850311279297,69.83318328857422
2020-01-09,74.86463165283203,154.4429473876953,32.089332580566406,95.05249786376953,70.56629943847656
2020-01-10,75.03386688232422,153.7283172607422,31.876667022705078,94.15799713134766,71.02204895019531
2020-01-13,76.6369400024414,155.5768280029297,34.990665435791016,94.56500244140625,71.57225799560547
2020-01-14,75.60206604003906,154.48104858398438,35.861331939697266,93.47200012207031,71.10308074951172
2020-01-15,75.27808380126953,155.48150634765625,34.56666564941406,93.10099792480469,71.531005859375
2020-01-16,76.22106170654297,158.3304443359375,34.232666015625,93.89700317382812,72.07573699951172
2020-01-17,77.06488800048828,159.21661376953125,34.03333282470703,93.23600006103516,73.53498840332031
2020-01-21,76.54263305664062,158.64486694335938,36.47999954223633,94.5999984741211,73.67066955566406
2020-01-22,76.81584930419922,157.8826141357422,37.97066879272461,94.37300109863281,73.75118255615234
2020-01-23,77.18579864501953,158.85452270507812,38.14666748046875,94.22899627685547,73.79194641113281
2020-01-24,76.96334075927734,157.25376892089844,37.654666900634766,93.08200073242188,72.87146759033203
2020-01-27,74.70022583007812,154.6239776611328,37.201332092285156,91.41699981689453,71.15972900390625
2020-01-28,76.81343078613281,157.65396118164062,37.793331146240234,92.6624984741211,72.09264373779297
2020-01-29,78.42131042480469,160.11224365234375,38.732666015625,92.9000015258789,72.40078735351562
2020-01-30,78.30768585205078,164.6285858154297,42.72066879272461,93.53399658203125,72.27902221679688
2020-01-31,74.8355941772461,162.19891357421875,43.371334075927734,100.43599700927734,71.2119140625
2020-02-03,74.63008880615234,166.1531219482422,52.0,100.20999908447266,73.68807220458984
2020-02-04,77.09390258789062,171.62228393554688,59.137332916259766,102.4834976196289,71.83965301513672
2020-02-05,77.72254943847656,171.41268920898438,48.97999954223633,101.99349975585938,71.8714599609375
2020-02-06,78.63166046142578,174.9667510986328,49.930667877197266,102.5114974975586,73.3585433959961
2020-02-07,77.56285095214844,175.2144775390625,49.871334075927734,103.96399688720703,73.51461029052734
2020-02-10,77.93124389648438,179.7975311279297,51.41866683959961,106.69550323486328,74.98330688476562
2020-02-11,77.46107482910156,175.73849487304688,51.62533187866211,107.54000091552734,75.05288696289062
2020-02-12,79.30059051513672,175.99578857421875,51.15266799926758,108.0,75.47882843017578
2020-02-13,78.73588562011719,175.04295349121094,53.599998474121094,107.49349975585938,75.21839141845703
2020-02-14,78.75528717041016,176.60562133789062,53.33533477783203,106.74349975585938,75.48379516601562
2020-02-18,77.31322479248047,178.39691162109375,57.22666549682617,107.78350067138672,75.51908874511719
2020-02-19,78.43294525146484,178.93191528320312,61.16133117675781,108.51100158691406,75.7889633178711
2020-02-20,77.6282958984375,176.19943237304688,59.96066665649414,107.65499877929688,75.39730834960938
2020-02-21,75.87116241455078,170.62930297851562,60.06666564941406,104.79850006103516,73.73080444335938
2020-02-24,72.26725769042969,163.2725067138672,55.58599853515625,100.4645004272461,70.56976318359375
2020-02-25,69.81942749023438,160.57826232910156,53.32733154296875,98.63700103759766,68.90276336669922
2020-02-26,70.92700958251953,162.5846405029297,51.91999816894531,98.97949981689453,69.10902404785156
2020-02-27,66.29063415527344,151.1290740966797,45.266666412353516,94.21499633789062,65.35554504394531
2020-02-28,66.25184631347656,154.788330078125,44.53266525268555,94.1875,66.56329345703125
2020-03-02,72.41996002197266,165.08782958984375,49.574668884277344,97.69750213623047,68.90276336669922
2020-03-03,70.11995697021484,157.17691040039062,49.70066833496094,95.44950103759766,66.48725891113281
2020-03-04,73.3724365234375,162.94772338867188,49.96666717529297,98.79149627685547,68.66817474365234
2020-03-05,70.99244689941406,158.8584442138672,48.30266571044922,96.20149993896484,65.34609985351562
2020-03-06,70.04965209960938,154.36798095703125,46.89866638183594,95.05449676513672,64.40076446533203
2020-03-09,64.50927734375,143.9060821533203,40.53333282470703,90.03050231933594,60.427101135253906
2020-03-10,69.15533447265625,153.7469482421875,43.02199935913086,94.59100341796875,63.37839889526367
2020-03-11,66.75354766845703,146.7819366455078,42.28200149536133,91.04299926757812,60.184051513671875
2020-03-12,60.16132354736328,132.86135864257812,37.369998931884766,83.83049774169922,55.24616622924805
2020-03-13,67.36912536621094,151.75010681152344,36.44133377075195,89.25,60.3515510559082
2020-03-16,58.702301025390625,129.38360595703125,29.67133331298828,84.4574966430664,53.33016586303711
2020-03-17,61.283451080322266,140.03662109375,28.68000030517578,90.39199829101562,55.56972885131836
2020-03-18,59.78323745727539,134.14163208007812,24.08133316040039,91.5,54.2342414855957
2020-03-19,59.325172424316406,136.3486328125,28.50933265686035,94.04650115966797,55.25213623046875
